FAT;dir_voice;ins_depth;mean_thr
CI;child-vtl;D;7.391.004
CI;child-vtl;S;8.132.376
CI;male-vtl;D;7.902.093
CI;male-vtl;S;10.599.041
GW;child-vtl;D;8.549.839
GW;child-vtl;S;8.933.370
GW;male-vtl;D;7.616.372
GW;male-vtl;S;8.714.550
HR;child-vtl;D;7.593.185
HR;child-vtl;S;7.863.996
HR;male-vtl;D;9.230.737
HR;male-vtl;S;10.160.807
LIN;child-vtl;D;8.347.707
LIN;child-vtl;S;9.434.817
LIN;male-vtl;D;12.008.415
LIN;male-vtl;S;12.594.939
